"","fixed_acidity","citric_acid","residual_sugar","free_sulfur_dioxide","log_volatile_acidity","log_chlorides","nonfree_sulfur_dioxide","log_pH","log_sulphates","log_alcohol","quality_binary"
"1",7.4,0,1.9,11,-0.356674943938732,-2.57702193869581,23,1.25561603747777,-0.579818495252942,2.24070968927596,0
"2",7.8,0,2.6,25,-0.127833371509885,-2.32278780031156,42,1.16315080980568,-0.385662480811985,2.28238238567653,0
"3",7.8,0.04,2.3,15,-0.27443684570176,-2.3859667019331,39,1.18172719537862,-0.430782916092454,2.28238238567653,0
"4",11.2,0.56,1.9,17,-1.27296567581289,-2.59026716544583,43,1.15057202759882,-0.544727175441672,2.28238238567653,0
"5",7.4,0,1.9,11,-0.356674943938732,-2.57702193869581,23,1.25561603747777,-0.579818495252942,2.24070968927596,0
"6",7.4,0,1.8,13,-0.415515443961666,-2.59026716544583,27,1.25561603747777,-0.579818495252942,2.24070968927596,0
"7",7.9,0.06,1.6,15,-0.510825623765991,-2.67364877438488,44,1.19392246847243,-0.776528789498996,2.24070968927596,0
"8",7.3,0,1.2,15,-0.430782916092454,-2.7333680090865,6,1.22082992139236,-0.755022584278033,2.30258509299405,1
"9",7.8,0.02,2,9,-0.544727175441672,-2.61729583783375,9,1.21194097397511,-0.562118918153541,2.2512917986065,1
"10",7.5,0.36,6.1,17,-0.693147180559945,-2.64507540194082,85,1.20896034583698,-0.22314355131421,2.35137525716348,0
"11",6.7,0.08,1.8,15,-0.544727175441672,-2.33304430047875,50,1.18784342239605,-0.616186139423817,2.21920348405499,0
"12",7.5,0.36,6.1,17,-0.693147180559945,-2.64507540194082,85,1.20896034583698,-0.22314355131421,2.35137525716348,0
"13",5.6,0,1.6,16,-0.486133011175619,-2.41911890925,43,1.27536280041261,-0.653926467406664,2.29253475714054,0
"14",7.8,0.29,1.6,9,-0.49429632181478,-2.17155683058764,20,1.18172719537862,0.444685821261446,2.2082744135228,0
"15",8.9,0.18,3.8,52,-0.478035800943,-1.73727128394399,93,1.15057202759882,-0.127833371509885,2.21920348405499,0
"16",8.9,0.19,3.9,51,-0.478035800943,-1.77195684193188,97,1.15373158788919,-0.0725706928348354,2.21920348405499,0
"17",8.5,0.56,1.8,35,-1.27296567581289,-2.3859667019331,68,1.19392246847243,-0.287682072451781,2.35137525716348,1
"18",8.1,0.28,1.7,16,-0.579818495252942,-0.999672340813206,40,1.13462272619114,0.246860077931526,2.23001440015921,0
"19",7.4,0.08,4.4,6,-0.527632742082372,-2.45340798272863,23,1.21787570949493,-0.693147180559945,2.19722457733622,0
"20",7.9,0.51,1.8,17,-1.13943428318836,-1.07587280169862,39,1.11185751541813,0.0769610411361284,2.21920348405499,0
"21",8.9,0.48,1.8,29,-1.51412773262978,-2.56394985712845,31,1.22082992139236,-0.63487827243597,2.24070968927596,0
"22",7.6,0.31,2.3,23,-0.941608539858445,-2.50103603171788,48,1.25846098961001,-0.430782916092454,2.27212588550934,0
"23",7.9,0.21,1.6,10,-0.843970070294529,-2.24431618487007,27,1.15373158788919,-0.0943106794712413,2.2512917986065,0
"24",8.5,0.11,2.3,9,-0.713349887877465,-2.47693848013882,58,1.15373158788919,-0.63487827243597,2.24070968927596,0
"25",6.9,0.14,2.4,21,-0.916290731874155,-2.46510402249182,19,1.23256026117785,-0.462035459596559,2.27212588550934,0
"26",6.3,0.16,1.4,11,-0.941608539858445,-2.52572864430826,12,1.20597080698861,-0.579818495252942,2.23001440015921,0
"27",7.6,0.24,1.8,4,-0.891598119283784,-2.52572864430826,7,1.18784342239605,-0.527632742082372,2.2512917986065,0
"28",7.9,0.21,1.6,10,-0.843970070294529,-2.24431618487007,27,1.15373158788919,-0.0943106794712413,2.2512917986065,0
"29",7.1,0,1.9,14,-0.342490308946776,-2.52572864430826,21,1.24415459395877,-0.59783700075562,2.24070968927596,0
"30",7.8,0,2,8,-0.438504962186365,-2.50103603171788,8,1.21787570949493,-0.527632742082372,2.28238238567653,0
"31",6.7,0.07,2.4,17,-0.393042588109607,-2.41911890925,65,1.20896034583698,-0.616186139423817,2.31253542384721,0
"32",6.9,0,2.5,22,-0.378336440719912,-2.25379492882461,15,1.24126858906963,-0.562118918153541,2.36085400111802,0
"33",8.3,0.12,2.3,15,-0.423120043346885,-2.48891467118554,98,1.15373158788919,-0.415515443961666,2.28238238567653,0
"34",6.9,0.12,10.7,40,-0.502526820951296,-2.61729583783375,43,1.23837423104327,-0.653926467406664,2.24070968927596,0
"35",5.2,0.25,1.8,13,-1.13943428318836,-2.2730262907525,37,1.21787570949493,-0.59783700075562,2.21920348405499,0
"36",7.8,0,5.5,5,-0.438504962186365,-2.45340798272863,13,1.22377543162212,-0.59783700075562,2.26176309847379,0
"37",7.8,0.14,2.4,3,-0.510825623765991,-2.45340798272863,12,1.22964055107451,-0.510825623765991,2.37954613413017,0
"38",8.1,0.28,2.1,13,-0.967584026261706,-2.71810053695571,17,1.17248213723457,-0.3147107448397,2.27212588550934,1
"39",5.7,0.09,1.5,7,0.122217632724249,-1.76026080216868,12,1.25276296849537,-0.7339691750802,2.28238238567653,0
"40",7.3,0.36,5.9,12,-0.798507696217772,-2.60369018577797,75,1.20297230399235,-0.186329578191493,2.35137525716348,0
"41",7.3,0.36,5.9,12,-0.798507696217772,-2.60369018577797,75,1.20297230399235,-0.186329578191493,2.35137525716348,0
"42",8.8,0.3,2.8,17,-0.49429632181478,-2.43041846450393,29,1.18172719537862,-0.673344553263766,2.23001440015921,0
"43",7.5,0.2,2.6,8,-0.713349887877465,-1.10262031006565,6,1.16627093714192,-0.105360515657826,2.35137525716348,0
"44",8.1,0.22,2.2,9,-0.415515443961666,-2.67364877438488,14,1.19392246847243,0.182321556793955,2.33214389523559,0
"45",6.8,0.02,1.8,5,-0.400477566597125,-2.99573227355399,6,1.24703229378638,-0.653926467406664,2.2512917986065,0
"46",4.6,0.15,2.1,8,-0.653926467406664,-2.91877123241786,57,1.3609765531356,-0.579818495252942,2.57261223020711,0
"47",7.7,0.43,2.2,22,-0.06720874969345,-2.17155683058764,92,1.17865499634165,-0.3147107448397,2.21920348405499,0
"48",8.7,0.52,1.6,12,-1.23787435600162,-2.1803674602698,25,1.17865499634165,-0.544727175441672,2.2512917986065,0
"49",6.4,0.23,1.6,5,-0.916290731874155,-2.71810053695571,7,1.20597080698861,-0.579818495252942,2.21920348405499,0
"50",5.6,0.37,1.4,12,-1.17118298150295,-2.60369018577797,84,1.1999647829284,-0.544727175441672,2.21920348405499,0
"51",8.8,0.26,1.7,4,-0.415515443961666,-2.60369018577797,19,1.14740245283754,-0.301105092783922,2.21920348405499,0
"52",6.6,0.04,2.2,8,-0.653926467406664,-2.67364877438488,7,1.22377543162212,-0.462035459596559,2.24070968927596,0
"53",6.6,0.04,2.1,6,-0.693147180559945,-2.68824757380603,8,1.22082992139236,-0.446287102628419,2.24070968927596,0
"54",8.6,0.36,3,30,-0.967584026261706,-2.5133061243097,89,1.16315080980568,-0.579818495252942,2.24070968927596,0
"55",7.6,0.15,2.8,33,-0.673344553263766,-2.20727491318972,40,1.15373158788919,-0.462035459596559,2.32238772029023,0
